id,categorie,subject,urgence,synthese
263,Problème technique informatique,Problème de serveur : perte de données,Critique,"Email concernant une perte de données sur le serveur principal, urgence critique. Il est nécessaire d'agir immédiatement pour résoudre le problème."
264,Bug ou dysfonctionnement d'un service,Bug dans l'application de gestion de projet,Élevée,"Le message traite d'un bug dans l'application de gestion de projet, ce qui est une urgence élevée car il peut entraîner la perte de données. Il est donc nécessaire d'envoyer quelqu'un pour résoudre ce problème le plus rapidement possible."
265,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et tout semble correct. Il demande de l'aide pour résoudre ce problème.
266,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations en développement web. Demandeur souhaite un catalogue des formations disponibles ainsi que les dates de début et de fin.
267,Problème technique informatique,Panne du serveur principal de production,Critique,"Email concernant une panne du serveur principal de production, affectant les opérations en ligne et les clients, avec pertes financières importantes. Il est urgent de mobiliser l'équipe de support pour diagnostiquer et résoudre ce problème."
268,Problème d'accès / authentification,Problème d'accès aux données confidentielles,Critique,Email concernant un problème critique d'accès inapproprié à des données confidentielles. Il est nécessaire de prendre des mesures immédiates pour résoudre ce problème et sécuriser l'accès à ces données.
269,Demande de support utilisateur,Demande de support pour une application métier,Élevée,Demande de support urgente pour une application métier en raison de problèmes de fonctionnement lors de l'enregistrement de nouveaux projets.
270,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et a demandé de l'aide pour résoudre ce problème ou être dirigé vers la personne responsable du réseau.
271,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,"Demande d'information sur les formations en développement web. Fournir un catalogue des formations disponibles, dates de début et tarifs associés."
272,Problème technique informatique,Blocage complet du système ERP – urgence critique,Critique,"Problème critique de blocage complet du système ERP (SAP) depuis 10h30, avec message d'erreur 500. Les opérations de gestion des stocks et de facturation sont suspendues, ce qui a un impact direct sur les livraisons et la facturation. Une intervention prioritaire est nécessaire."
273,Problème technique informatique,Panne du serveur de production – impact sur les ventes en ligne,Critique,"Problème technique critique avec le serveur de production, les clients ne peuvent pas passer de commandes et le trafic sur le site est bloqué. L'équipe de développement a tenté un redémarrage mais le problème persiste, nécessitant une intervention immédiate pour restaurer le service."
274,Bug ou dysfonctionnement d’un service,Erreur de synchronisation dans le module de facturation CRM,Élevée,Il y a un bug dans le module de facturation CRM qui perturbe le reporting mensuel. Les logs doivent être vérifiés et le problème corrigé.
275,Problème d’accès / authentification,Problème de connexion à l’adresse e‑mail interne,Élevée,"Le client a un problème d'accès à son adresse e-mail interne. Il a déjà tenté de réinitialiser le mot de passe via le portail, mais le lien ne fonctionne pas. Il est nécessaire de résoudre ce problème pour que le client puisse accéder à son e-mail."
276,Demande administrative,Demande de fournitures de bureau pour le département marketing,Faible,Demande de fournitures de bureau pour le département marketing. Demande de confirmation de disponibilité et délai de livraison.
277,Problème technique informatique,Application de facturation hors service – impact sur les ventes,Critique,"Problème technique critique avec l'application de facturation FacturePro v3.2, empêchant la création de factures et la mise à jour des comptes clients, impactant directement les revenus du trimestre. Veuillez intervenir immédiatement."
278,Demande de support utilisateur,Demande de support : problème de synchronisation des contacts Outlook,Élevée,Demande de support pour un problème de synchronisation des contacts Outlook. Le problème affecte la gestion de ses clients et nécessite une intervention rapide.
279,Problème d’accès / authentification,Problème d'accès VPN depuis le bureau à distance,Élevée,"Problème d'accès VPN depuis le bureau à distance avec erreur d'authentification (code 401). L'utilisateur a vérifié son mot de passe et son domaine, a redémarré le poste et le problème persiste. Il est possible que le compte ait été suspendu ou que le serveur VPN rencontre un problème."
280,Bug ou dysfonctionnement d'un service,Erreur lors de l'ouverture du fichier Excel de reporting mensuel,Modérée,L'utilisateur a signalé un problème d'ouverture d'un fichier Excel sur son poste de travail. Le fichier est stocké sur le partage réseau et le problème persiste même après avoir été copié sur le bureau. Il est nécessaire de vérifier si le fichier est corrompu ou si le poste de travail manque d'un plugin.
281,Demande administrative,Demande de copie du manuel de sécurité interne,Faible,Demande de copie du manuel de sécurité interne mis à jour en 2024. L'utilisateur demande de recevoir le document par e-mail ou de savoir où le trouver sur l'intranet.
282,Problème technique informatique,"Panne réseau dans le bâtiment B, arrêt complet des services",Critique,"Problème technique critique : Panne réseau dans le bâtiment B, arrêt complet des services. Nécessite une intervention immédiate pour rétablir la connexion."
283,Problème technique informatique,Impression PDF impossible sur le poste de travail,Élevée,Le poste de travail de Marc Lefèvre (PC-23) ne peut plus imprimer des fichiers PDF depuis l'application Adobe Acrobat. L'imprimante réseau indique une erreur de communication et le pilote ne s'installe pas. Il est nécessaire de résoudre ce problème avant la réunion de demain.
284,Problème technique informatique,Erreur 500 sur le portail intranet,Élevée,"Problème technique sur le portail intranet avec erreur 500, gênant la consultation des informations essentielles. Il est nécessaire de vérifier le serveur et de tenir informé de la résolution."
285,Problème d’accès / authentification,Mot de passe oublié pour l’accès VPN,Élevée,"Thomas Dupont a un problème d'accès au VPN en raison d'un mot de passe oublié. Il a tenté de le réinitialiser via le portail, mais reçoit un message d'erreur. Il demande de l'aide pour rétablir l'accès ou de recevoir un lien de réinitialisation."
286,Demande administrative,Demande de congés pour la semaine prochaine,Faible,Demande de congés pour les 12 et 13 mars pour préparer une formation. Confirmation attendue.
287,Problème technique informatique,Violation de données sensibles détectée - Action immédiate nécessaire,Critique,"Email concernant une violation de données sensibles et nécessitant une action immédiate. Il est nécessaire de bloquer l'accès, d'analyser l'étendue du vol et d'informer les parties concernées. L'équipe sécurité doit être mobilisée."
288,Problème technique informatique,Arrêt du serveur de production : intervention urgente requise,Critique,Problème technique critique avec le serveur de production 'srv-prod-01'. Les applications critiques ne fonctionnent plus et une intervention immédiate est requise pour restaurer les services.
289,Problème d’accès / authentification,Demande de réinitialisation de mot de passe VPN,Élevée,"Demande de réinitialisation de mot de passe VPN, urgence élevée car l'utilisateur ne peut plus se connecter depuis ce matin."
290,Bug ou dysfonctionnement d'un service,Bug : icône manquante sur le portail intranet,Élevée,Email concernant un bug sur le portail intranet qui empêche les utilisateurs de naviguer facilement. L'urgence est élevée car il s'agit d'un problème technique informatique qui affecte l'utilisation du portail.
291,Demande administrative,Demande de chaise ergonomique pour le bureau,Faible,Demande de chaise ergonomique pour le bureau de Jean Dupont. Confirmer la disponibilité et le délai de livraison.
292,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal hébergeant des données critiques, affectant toutes les opérations de l'entreprise et nécessitant une intervention immédiate pour rétablir le service et minimiser les pertes. Procédure d'urgence pour la récupération des données et la remise en ligne du serveur doit être déclenchée."
293,Problème d’accès / authentification,Problème d’accès au système de gestion de projet,Élevée,Problème d'accès au système de gestion de projet en raison d'une erreur d'authentification. L'équipe est bloquée et a des délais à respecter. Il est nécessaire d'intervenir rapidement pour résoudre ce problème.
294,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Élevée,Demande de support pour un problème d'importation de données dans le logiciel XYZ. L'utilisateur souhaite une réponse rapide car le problème impacte son travail.
295,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Le client rencontre des difficultés à se connecter au réseau Wi-Fi de l'entreprise. Il a déjà vérifié ses paramètres et redémarré son ordinateur, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
296,Demande administrative,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles pour le développement professionnel. Procédure d'inscription et coûts associés demandés.
297,Problème technique informatique,Attaque de sécurité en cours sur nos systèmes,Critique,"Email concernant une attaque de sécurité sur les systèmes critiques, nécessitant une assistance immédiate."
298,Problème technique informatique,Problème technique avec le serveur de messagerie,Critique,"Problème technique critique avec le serveur de messagerie, nécessitant une intervention immédiate pour éviter toute perturbation des opérations."
299,Problème d’accès / authentification,Accès refusé à certaines fonctionnalités du système,Élevée,"Problème d'accès aux fonctionnalités du système, nécessitant une intervention rapide pour résoudre le problème."
300,Problème technique informatique,Problème mineur de mise en page sur site web,Modérée,"Problème mineur de mise en page sur la page d'accueil du site web, nécessitant une correction."
301,Demande de support utilisateur,Demande de documentation pour nouvelle version de logiciel,Faible,"Demande de documentation pour la nouvelle version de logiciel, pas urgente."
302,Problème technique informatique,Système de paiement en ligne hors service – impact sur les ventes,Critique,"Email concernant un problème technique informatique critique sur le système de paiement en ligne de la plateforme e-commerce, entraînant une perte de ventes estimée à 15% pour la journée. Une solution immédiate ou une mise à jour du système de paiement est demandée."
303,Problème technique informatique,Erreur 502 sur le serveur d'impression des rapports mensuels,Élevée,Problème technique sur le service d'impression des rapports mensuels avec erreur 502. Impacte la livraison des rapports aux clients. Nécessite une intervention urgente.
304,Problème d’accès / authentification,Erreur 401 lors de la connexion à la plateforme de formation,Élevée,L'utilisateur Antoine Martin rencontre un problème d'authentification sur la plateforme de formation en ligne. Il a déjà vérifié que son compte est actif et que son mot de passe n'a pas été changé. Le problème persiste depuis 2 heures. Il demande à savoir si un problème d'authentification est en cours ou si il doit réinitialiser son mot de passe.
305,Problème technique informatique,Problème d'affichage du tableau de bord – couleur de fond incorrecte,Modérée,Problème de l'affichage du tableau de bord avec une couleur de fond incorrecte. L'utilisateur a essayé de rafraîchir le cache sans succès. Il est demandé de vérifier si une mise à jour récente a modifié le thème.
306,Demande administrative,Demande de mise à jour de mon badge d'accès,Faible,Demande de mise à jour du badge d'accès pour accès aux nouveaux locaux de la société. Procédures et pièces justificatives nécessaires à confirmer.
307,Problème technique informatique,URGENT : Panne complète du serveur de base de données de production,Critique,L'équipe IT a signalé une panne complète du serveur SQL principal (DB01) depuis 14h30. Les logs indiquent un arrêt brutal sans message d'erreur clair et les tentatives de redémarrage ont échoué. Il est demandé d'intervenir immédiatement pour restaurer la disponibilité du serveur et prévenir toute perte de données.
308,Problème d’accès / authentification,Erreur d'authentification sur le portail intranet,Élevée,"Problème d'accès au portail intranet avec erreur d'authentification pour David Rousseau. L'utilisateur a déjà réinitialisé son mot de passe, mais le problème persiste. Situation empêchant l'accès aux documents internes nécessaires à son travail. Demande d'aide urgente."
309,Bug ou dysfonctionnement d'un service,Bug sur la page de facturation du portail client,Élevée,Email de Claire Leclerc concernant un bug sur la page de facturation du portail client. Les montants affichés ne correspondent pas aux factures réelles et la page ne se charge pas correctement après le clic sur 'Voir détails'. Il est nécessaire de corriger ce problème rapidement pour éviter toute confusion pour les clients.
310,Problème d’accès / authentification,Problème de connexion à l'imprimante réseau,Modérée,"L'utilisateur Bob Martin rencontre un problème de connexion à l'imprimante réseau HP LaserJet 4000. Le message d'erreur indique 'Impossible de se connecter au serveur d'impression'. Il a déjà redémarré son ordinateur et vérifié le câble, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
311,Demande administrative,Demande de mise à jour de l'outil de gestion de projet,Modérée,Demande de mise à jour de l'outil de gestion de projet Jira vers la dernière version pour bénéficier des nouvelles fonctionnalités et corrections de bugs. Confirmer la date de mise à jour.
312,Problème technique informatique,Incident de sécurité - données sensibles exposées,Critique,"Email concernant une fuite de données sensibles sur le serveur de production. L'équipe de sécurité demande une action immédiate pour contenir l'incident, notifier les autorités compétentes et informer les clients affectés. Cela représente une violation majeure de la conformité RGPD."
313,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Email de Marc Lefèvre concernant une panne du serveur de messagerie interne. L'urgence est critique car la communication quotidienne et la gestion des dossiers clients sont impactés.
314,Problème technique informatique,Erreur 500 lors de l’accès à la plateforme de facturation,Élevée,"Problème technique sur la plateforme de facturation avec erreur 500, rendant l'accès impossible et empêchant la génération de factures. Il est nécessaire de vérifier le serveur et de communiquer la résolution."
315,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Élevée,"Problème d'accès à l'intranet : l'utilisateur ne peut pas se connecter et ne reçoit pas de message d'erreur. Il a essayé de réinitialiser son mot de passe via le lien « Mot de passe oublié », mais rien ne se passe. Il demande de l'aide pour rétablir l'accès."
316,Demande administrative,Demande de congé annuel,Modérée,Demande de congé annuel de Pierre Dupont du 15 au 20 juillet inclus. Il demande à être informé de la prise en compte de sa demande et des démarches à suivre.
317,Problème technique informatique,Panne du serveur principal,Critique,"Le serveur principal de l'entreprise est hors service, ce qui entraîne une interruption complète des activités. Une intervention immédiate est nécessaire pour rétablir le fonctionnement du serveur et minimiser les pertes."
318,Problème d'accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème critique de sécurité : certaines données confidentielles sont accessibles à des personnes non autorisées. Il est nécessaire de prendre des mesures immédiates pour résoudre ce problème et garantir la confidentialité de ces données.
319,Demande de support utilisateur,Demande de support pour un logiciel,Élevée,Demande d'aide pour résoudre un problème de gestion de projet avec le logiciel utilisé. L'utilisateur ne peut pas exporter les données sous le format souhaité. L'urgence est élevée car il s'agit d'un problème de travail.
320,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur et vérifié que le Wi-Fi est activé, mais il ne parvient toujours pas à se connecter. Il demande de l'aide pour résoudre ce problème."
321,Demande administrative,Demande d'information sur les formations disponibles,Faible,"Demande d'information sur les formations en développement web. Fournir une liste des formations disponibles, leurs dates et tarifs."
322,Problème technique informatique,"Panne critique du système de facturation, arrêt complet",Critique,"Email concernant une panne critique du système de facturation FactoPro, nécessitant une intervention immédiate pour éviter des pertes financières importantes."
323,Problème technique informatique,Serveur de messagerie indisponible depuis 2h,Critique,"Le serveur de messagerie interne est indisponible depuis 2 heures, impactant la communication avec les clients et les équipes internes. Une intervention rapide est nécessaire pour rétablir le service."
324,Bug ou dysfonctionnement d’un service,Erreur lors de la génération de rapports PDF,Élevée,"L'utilisateur a signalé un problème de génération de rapports PDF dans le module de reporting, avec troncature du contenu à partir de la 3e page pour les rapports de plus de 20 pages. Le problème est identique sur deux navigateurs différents (Chrome et Edge). Il est demandé de vérifier le code de génération PDF ou de fournir une solution de contournement."
325,Problème d’accès / authentification,Problème de connexion à l’application interne,Élevée,L'utilisateur a un problème de connexion à l'application interne avec un message d'erreur 'identifiant ou mot de passe incorrect'. Il a essayé de réinitialiser son mot de passe mais le problème persiste. Il est nécessaire de vérifier si son compte est bloqué ou si un problème technique affecte l'authentification.
326,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Pas d'urgence.
327,Problème technique informatique,Panne du serveur de production,Critique,Email de Thomas Lefèvre concernant une panne du serveur de production. L'urgence est critique car la perte de revenus est estimée à 10k € par heure.
328,Demande de support utilisateur,Aide pour la configuration du VPN,Modérée,"Demande de configuration VPN, pas urgente mais nécessite une réponse pour résoudre le problème."
329,Problème technique informatique,Erreur 500 sur le portail intranet,Élevée,Le message indique un problème technique sur le portail intranet qui affecte uniquement les utilisateurs de la région Île-de-France. Il est nécessaire d'enquêter sur ce problème pour déterminer si c'est un problème de serveur ou de configuration.
330,Problème d’accès / authentification,Impossible de se connecter à l'outil CRM,Élevée,"Problème d'accès à l'outil CRM via l'application web. L'utilisateur Marie Leclerc ne peut pas se connecter et reçoit un message d'erreur 'identifiant ou mot de passe incorrect', malgré la validité de ses identifiants. Il a essayé de réinitialiser son mot de passe, mais le lien ne fonctionne pas. Il est nécessaire de vérifier le problème."
331,Demande administrative,Demande de congé maladie,Modérée,Demande de congé maladie du 15 au 20 mars inclus. Procédure à suivre à indiquer.
332,Problème technique informatique,Panne majeure du serveur principal,Critique,"Email concernant une panne majeure du serveur principal, nécessitant une intervention immédiate pour rétablir le service et minimiser les pertes."
333,Problème technique informatique,Problème de connexion au système de gestion de projet,Critique,"Problème de connexion au système de gestion de projet urgent, plusieurs membres de l'équipe sont impactés et les travaux sont bloqués. Intervention rapide requise."
334,Problème d’accès / authentification,Accès refusé à une ressource partagée,Modérée,"Problème d'accès à un dossier partagé sur le réseau. L'utilisateur Pierre Durand a signalé qu'il a un message d'erreur indiquant qu'il n'a pas les autorisations nécessaires, bien qu'il ait accédé à ce dossier la semaine dernière sans problème. Il est nécessaire de résoudre ce problème pour que l'utilisateur puisse continuer à travailler."
335,Problème technique informatique,Problème mineur avec l'imprimante,Faible,"Email de demande de support technique pour une imprimante qui imprime des pages blanches. L'utilisateur a déjà tenté de redémarrer l'appareil, mais le problème persiste. L'urgence est faible car il s'agit d'un problème mineur."
336,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles pour le développement professionnel. Pas d'urgence.
337,Problème technique informatique,Panne totale du système de pointage pour la salle de réunion,Critique,"Problème critique avec le système de pointage électronique dans la salle de réunion, empêchant les employés de s'enregistrer et perturbant la gestion des présences et la sécurité. Il est nécessaire de dépêcher un technicien immédiatement."
338,Problème technique informatique,Serveur de fichiers indisponible,Critique,"Le serveur de fichiers partagé est hors ligne depuis 3h, impactant la production. L'utilisateur a déjà redémarré le serveur, mais le problème persiste. Il y a besoin d'une intervention urgente."
339,Bug ou dysfonctionnement d'un service,Erreur 500 sur la page de facturation,Élevée,Erreur 500 sur la page de facturation bloquant la mise à jour des factures pour les clients. Investigation nécessaire.
340,Problème d’accès / authentification,Mot de passe oublié pour le portail intranet,Modérée,Le utilisateur a des difficultés à se connecter au portail intranet en raison d'un problème de mot de passe oublié. Il a essayé de réinitialiser son mot de passe mais n'a pas reçu d'e-mail. Il est nécessaire de vérifier le statut de la demande de réinitialisation de mot de passe et de fournir une solution à l'utilisateur.
341,Demande administrative,Demande de congé maternité,Modérée,Demande de congé maternité pour la période du 15 juin au 15 septembre. Procédure à suivre à confirmer.
342,Problème technique informatique,Attaque de sécurité en cours : demande d'intervention immédiate,Critique,"Email concernant une attaque de sécurité en cours sur les systèmes, nécessitant une intervention immédiate pour protéger les données."
343,Problème technique informatique,Problème de serveur : accès aux données compromis,Critique,Problème grave avec l'accès aux données sur un serveur. Il est essentiel de résoudre ce problème le plus vite possible.
344,Bug ou dysfonctionnement d'un service,Bug dans l'application de gestion de projet,Élevée,"Email concernant un bug dans l'application de gestion de projet, nécessitant une intervention rapide."
345,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est certain d'avoir les bonnes identifiants. Il demande de l'aide pour résoudre ce problème.
346,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations professionnelles proposées par l'entreprise
347,Problème technique informatique,Panne serveur de production – arrêt complet,Critique,"Le serveur de production hébergeant notre plateforme e-commerce est hors service depuis 2h30. Les clients ne peuvent pas passer de commandes, ce qui entraîne une perte de revenus importante. L'outil de monitoring indique un redémarrage échoué. Besoin d'une intervention immédiate."
348,Problème technique informatique,Besoin d'assistance pour la configuration du VPN,Élevée,Problème technique informatique : l'utilisateur Sofia Roussel a des difficultés à se connecter à un VPN pour accéder aux ressources distantes. L'erreur indiquée est 'connexion refusée' et cette connexion est indispensable pour le projet X. L'urgence est élevée.
349,Bug ou dysfonctionnement d'un service,Bug affichage des rapports mensuels,Élevée,Email de Pierre Martin concernant un bug d'affichage des rapports mensuels de ventes. Il y a une urgence car cela gêne la prise de décision pour le trimestre.
350,Problème d’accès / authentification,Problème d'accès à l'outil de gestion des tâches,Modérée,Problème d'accès à l'outil de gestion des tâches. L'utilisateur Marie Leclerc rencontre un message d'erreur indiquant 'identifiant ou mot de passe incorrect'. Il est nécessaire de vérifier son compte.
351,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de Jean Dupont. Les nouvelles coordonnées sont IBAN FR76 3000 6000 1234 5678 9012 345.
352,Problème technique informatique,Panne du serveur principal,Critique,"Cette demande concerne une panne du serveur principal de l'entreprise, ce qui rend les services en ligne et les opérations impossibles. Il est nécessaire d'intervenir immédiatement pour rétablir le fonctionnement du serveur et minimiser les pertes."
353,Problème d’accès / authentification,Problème d'accès aux données sensibles,Critique,"Problème d'accès aux données sensibles urgents, nécessitant une intervention immédiate pour résoudre l'erreur d'autorisation d'accès et améliorer la productivité de l'entreprise."
354,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Modérée,Demande de support pour un logiciel spécifique dans le département. L'utilisateur a suivi les tutoriels en ligne mais rencontre toujours des difficultés à comprendre certaines fonctionnalités. Il demande un support ou un contact avec quelqu'un qui pourrait l'aider.
355,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Le client rencontre des difficultés à se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et tout semble correct, mais il ne parvient pas à accéder au réseau. Il demande de l'aide pour résoudre ce problème."
356,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Procédure d'inscription et coûts associés demandés.
357,Problème technique informatique,Arrêt complet du serveur de production srv-prod-01,Critique,"Le serveur de production srv-prod-01 est hors ligne depuis 15 minutes, impactant directement les opérations commerciales et la facturation des clients. Une action immédiate est requise pour restaurer le service."
358,Problème d’accès / authentification,Impossible de se connecter au VPN depuis le bureau,Élevée,"L'utilisateur Anaïs Dubois a un problème d'accès au VPN depuis son poste de travail. Il a déjà réinitialisé son mot de passe et vérifié que le service VPN est en ligne, mais il rencontre toujours l'erreur 'Authentification échouée'. Cette connexion est essentielle pour accéder aux ressources internes et il ne peut pas avancer sur ses tâches. Il demande une intervention rapide."
359,Bug ou dysfonctionnement d'un service,Erreur de chargement du tableau de bord du portail RH,Élevée,Le tableau de bord du portail RH ne se charge pas et affiche un message d'erreur 500 sur plusieurs navigateurs. Le problème est présent sur plusieurs postes de travail et a déjà été tenté de résoudre en vérifiant le cache et en redémarrant le navigateur. Il est nécessaire de vérifier si le service backend est opérationnel ou s'il y a un problème de configuration.
360,Bug ou dysfonctionnement d’un service,Imprimante réseau HP LaserJet 4000 en erreur de papier,Modérée,"L'utilisateur Sophie Lefèvre a signalé un problème avec l'imprimante HP LaserJet 4000 située sur le 3e étage qui affiche un message d'erreur 'Papier en panne' malgré le fait que le papier est présent et correctement chargé. Il a tenté de réinitialiser l'imprimante, mais le message persiste. Il demande des étapes de dépannage ou l'envoi d'un technicien."
361,Demande administrative,Création de compte utilisateur pour le nouveau stagiaire,Modérée,"Demande de création d'un compte utilisateur pour le stagiaire Marie Dupont avec identifiant mdupont, domaine interne et groupe Stagiaires 2025. Confirmer une fois le compte créé."
362,Problème technique informatique,Violation de données sensibles détectée sur le serveur de production,Critique,"Email concernant une fuite de données sensibles sur le serveur de production. Il est impératif de mettre en place un plan d'urgence, de bloquer l'accès et d'informer les parties prenantes. Veuillez agir immédiatement."
363,Problème d’accès / authentification,Arrêt complet du portail RH interne,Critique,"Le portail RH interne est indisponible depuis 14h30, empêchant les utilisateurs d'accéder aux fiches de paie et aux demandes de congés. Cela impacte la gestion quotidienne des ressources humaines. Une investigation immédiate est nécessaire."
364,Problème d’accès / authentification,Impossible d’accéder au VPN depuis le bureau,Élevée,L'utilisateur Sophie Dubois a un problème d'accès au VPN depuis le bureau de Lyon. L'erreur indiquée est « Authentification échouée ». Il est nécessaire de vérifier les paramètres du serveur VPN.
365,Bug ou dysfonctionnement d'un service,Problème de mise en page sur le rapport annuel,Modérée,Email de Jean-Pierre Lemaire concernant un problème de mise en page du rapport annuel 2023. Le problème persiste après réinitialisation de la mise en page. Niveau d'urgence modérée.
366,Demande administrative,Demande de cartes de visite pour le nouveau directeur,Faible,Demande de cartes de visite pour le directeur marketing M. Dupont dans le cadre de la campagne de lancement du produit X. Demande de délai de livraison et coût éventuel.
367,Problème technique informatique,Interruption totale du service de messagerie interne,Critique,"Problème critique de service de messagerie interne, impactant la communication avec les clients et les équipes internes. Il est urgent de résoudre ce problème."
368,Demande d'accès / authentification,Demande d'accès à Jira pour le nouveau collaborateur,Modérée,"Demande d'accès à Jira pour un nouveau collaborateur, Sophie Tremblay, pour le projet 'Campagne Q4'. L'accès est nécessaire dès lundi prochain."
369,Problème d’accès / authentification,Dysfonctionnement de la page d'accueil du portail intranet,Élevée,"Problème d'accès à la page d'accueil du portail intranet, bloquant la consultation des documents internes. L'erreur 500 est signalée sur Chrome et Firefox. Il est nécessaire de vérifier ce problème."
370,Problème d’accès / authentification,Problème de connexion à l'imprimante réseau du bureau 3,Élevée,Problème de connexion à l'imprimante réseau HP LaserJet 4000 située au bureau 3. L'utilisateur a déjà tenté de réinitialiser le poste et de redémarrer l'imprimante sans succès. Il demande une solution ou l'envoi d'un technicien.
371,Demande administrative,Demande de mise à jour de mon adresse e-mail professionnelle,Faible,Demande de mise à jour de l'adresse e-mail professionnelle de Jean Dupont. Procédure à suivre à indiquer.
372,Problème technique informatique,Attaque de sécurité en cours,Critique,"Email concernant une attaque de sécurité en cours, nécessitant une intervention immédiate pour protéger les données sensibles."
373,Problème d’accès / authentification,Problème d’authentification pour les utilisateurs,Élevée,"Problème d'authentification empêchant les utilisateurs de se connecter, affectant les employés et les clients. Il est crucial de résoudre ce problème rapidement pour éviter toute perte de productivité et de confiance."
374,Bug ou dysfonctionnement d’un service,Bug sur le site web de l’entreprise,Élevée,Email concernant un bug sur le site web de l'entreprise qui affecte les ventes. Il est nécessaire de résoudre ce problème le plus rapidement possible.
375,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,Le client est en difficulté pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et ils semblent corrects. Il est en télétravail et a besoin d'une connexion stable pour travailler. Il est donc nécessaire de résoudre ce problème d'urgence.
376,Demande administrative,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles pour développement professionnel
377,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Le serveur de messagerie interne est hors service depuis 2h30. Il est nécessaire d'une intervention immédiate de l'équipe IT pour résoudre ce problème qui bloque les communications internes et les alertes de sécurité.
378,Bug ou dysfonctionnement d’un service,Synchronisation des contacts Outlook interrompue,Élevée,"La synchronisation des contacts entre Outlook et le CRM est interrompue depuis hier, impactant l'équipe commerciale qui a besoin d'un accès en temps réel aux données. Il est nécessaire de traiter cette demande en priorité."
379,Bug ou dysfonctionnement d'un service,Erreur 500 lors de la génération de rapports PDF,Élevée,"L'utilisateur Paul Martin a signalé une erreur 500 lors de la génération de rapports PDF dans le module de reporting. Il a essayé de vider le cache et de relancer, mais l'erreur persiste. Il est nécessaire de vérifier le backend."
380,Problème d’accès / authentification,Problème d'accès à l'application mobile,Modérée,L'utilisateur Marie Leclerc rencontre un problème d'accès à l'application mobile en raison d'un problème d'authentification. L'écran reste bloqué sur l'écran de chargement après avoir entré son identifiant et son mot de passe. Il a essayé de redémarrer son téléphone mais le problème persiste.
381,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires associées à un compte client. Veuillez confirmer les informations nécessaires et la procédure à suivre.
382,Problème technique informatique,Panne critique du serveur de base de données production,Critique,"Il y a une panne critique du serveur de base de données PostgreSQL hébergeant l'application de facturation. Les logs indiquent une erreur «segmentation fault» et aucun accès n'est possible pour les équipes de facturation, ce qui bloque la clôture des comptes clients. Il y a besoin d'une intervention immédiate pour restaurer le service ou lancer une sauvegarde."
383,Problème technique informatique,Imprimante du salon de conférence bloquée,Élevée,L'imprimante HP LaserJet 4000 dans le salon de conférence 3 est bloquée après un bourrage papier. Il est nécessaire d'envoyer un technicien pour résoudre le problème.
384,Problème technique informatique,Erreur de taille de pièce jointe dans Outlook,Élevée,L'utilisateur rencontre un problème de taille de pièce jointe dans Outlook qui bloque la transmission de rapports mensuels. Il est nécessaire de vérifier si la politique de taille est correctement configurée.
